condition,band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,perm_importance,perm_importance_std,importance
picture,8,100.0,130.0,100-130Hz,21,ersp,0.00013222316553234364,9.044103471348431e-05,0.00020065296724347407,9.044103471348431e-05
picture,8,100.0,130.0,100-130Hz,22,ersp,0.00033168047536367187,0.000503432494279199,0.0007443253618820211,0.000503432494279199
picture,8,100.0,130.0,100-130Hz,23,ersp,0.0006189675750168892,-1.8682609159781372e-05,0.000576668332208748,0.0
picture,8,100.0,130.0,100-130Hz,24,ersp,0.001128764876902092,0.00036180889579812137,0.0005050782581966628,0.00036180889579812137
picture,8,100.0,130.0,100-130Hz,25,ersp,0.0006910093722126735,-0.00018863849089209017,0.0008261682138001358,0.0
picture,8,100.0,130.0,100-130Hz,26,ersp,0.00037939636391217367,0.0,0.0,0.0
picture,8,100.0,130.0,100-130Hz,27,ersp,0.0003217693287643561,0.00019392372333548735,0.0002962233804108483,0.00019392372333548735
picture,8,100.0,130.0,100-130Hz,28,ersp,0.00033455305152257014,0.0010052827497046835,0.00044707594888109616,0.0010052827497046835
picture,8,100.0,130.0,100-130Hz,29,ersp,0.00036838836485699557,0.0002476780185758809,0.00030334238300724084,0.0002476780185758809
picture,9,130.0,170.0,130-170Hz,0,ersp,0.0002201683917060032,9.651911344095154e-05,0.0003120907095129458,9.651911344095154e-05
picture,9,130.0,170.0,130-170Hz,1,ersp,0.0011445397360321959,-5.159958720328817e-05,0.00010319917440657634,0.0
picture,9,130.0,170.0,130-170Hz,2,ersp,0.0010492994851474392,4.325883201157232e-05,0.00032752862380186276,4.325883201157232e-05
picture,9,130.0,170.0,130-170Hz,3,ersp,0.0016934750032827186,0.0012206684764103914,0.0004959051500720536,0.0012206684764103914
picture,9,130.0,170.0,130-170Hz,4,ersp,0.0023808104900841353,0.0004654690206975287,0.00044002794699483244,0.0004654690206975287
picture,9,130.0,170.0,130-170Hz,5,ersp,0.0016360359036155202,2.162941600578616e-05,0.0001883287273483771,2.162941600578616e-05
picture,9,130.0,170.0,130-170Hz,6,ersp,0.0007202268300652729,-0.00029206463986970467,0.0012288986510345737,0.0
picture,9,130.0,170.0,130-170Hz,7,ersp,0.0004221754975546596,-8.058017727636812e-05,0.00016116035455273625,0.0
picture,9,130.0,170.0,130-170Hz,8,ersp,0.0006830933084698766,3.6119711042326144e-05,0.00020902610010866996,3.6119711042326144e-05
picture,9,130.0,170.0,130-170Hz,9,ersp,0.0008865255547387704,0.0005239874261377287,0.000705474967745645,0.0005239874261377287
picture,9,130.0,170.0,130-170Hz,10,ersp,0.0006267493174983188,0.0005802265910639703,0.0007286106368679866,0.0005802265910639703
picture,9,130.0,170.0,130-170Hz,11,ersp,0.0006950198947244358,0.0028106662485447576,0.000310128703430645,0.0028106662485447576
picture,9,130.0,170.0,130-170Hz,12,ersp,0.00038141371196774267,0.00014274668882586773,0.0004370379823229789,0.00014274668882586773
picture,9,130.0,170.0,130-170Hz,13,ersp,0.0004386898570623198,6.191950464397022e-05,0.00018575851393191068,6.191950464397022e-05
picture,9,130.0,170.0,130-170Hz,14,ersp,0.00024899219927696544,0.0,0.0,0.0
picture,9,130.0,170.0,130-170Hz,15,ersp,0.0004287170869323112,0.00024174053182917098,0.00045398082769922344,0.00024174053182917098
picture,9,130.0,170.0,130-170Hz,16,ersp,0.0011767320591394475,6.191950464397022e-05,0.00018575851393191068,6.191950464397022e-05
picture,9,130.0,170.0,130-170Hz,17,ersp,0.0007102230741100511,-0.00036534228377930187,0.0006551641535859649,0.0
picture,9,130.0,170.0,130-170Hz,18,ersp,0.0002188328931451827,0.0,0.0,0.0
picture,9,130.0,170.0,130-170Hz,19,ersp,0.0003446300275970295,0.0,0.0,0.0
picture,9,130.0,170.0,130-170Hz,20,ersp,0.0007156270927016599,0.00020639834881324147,0.00010319917440662074,0.00020639834881324147
picture,9,130.0,170.0,130-170Hz,21,ersp,0.00028874672444544606,0.0005817711700064621,0.00019392372333548735,0.0005817711700064621
picture,9,130.0,170.0,130-170Hz,22,ersp,0.0007226142561584441,0.0005572755417957321,0.00018575851393191068,0.0005572755417957321
picture,9,130.0,170.0,130-170Hz,23,ersp,0.0005371902944515993,0.0002063983488132637,0.00037917797875901325,0.0002063983488132637
picture,9,130.0,170.0,130-170Hz,24,ersp,0.00042691282761780057,0.00017006658467287882,0.0004271928475537576,0.00017006658467287882
picture,9,130.0,170.0,130-170Hz,25,ersp,0.0003447135112948408,0.0,0.0,0.0
picture,9,130.0,170.0,130-170Hz,26,ersp,0.00019430219593867854,0.0,0.0,0.0
picture,9,130.0,170.0,130-170Hz,27,ersp,0.0001638948892367134,0.0,0.0,0.0
picture,9,130.0,170.0,130-170Hz,28,ersp,0.00016657252957462043,0.00020283975659229903,0.00040567951318459805,0.00020283975659229903
picture,9,130.0,170.0,130-170Hz,29,ersp,0.0005829205602369207,-2.579979360163298e-05,0.00019610326106021543,0.0
picture,10,170.0,220.0,170-220Hz,0,ersp,0.002140086332405955,0.0006063061179024887,0.0007456139875770899,0.0006063061179024887
picture,10,170.0,220.0,170-220Hz,1,ersp,0.00025323770523766174,0.0007672634271099543,0.0011720142442341994,0.0007672634271099543
picture,10,170.0,220.0,170-220Hz,2,ersp,0.00013587478000884508,0.00012383900928794044,0.0002476780185758809,0.00012383900928794044
