sample_idx,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_19,k_20,k_21,k_22
336,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
337,2,2,0,2,10,0,2,2,3,6,6,5,1,19,0
338,2,2,0,5,10,0,2,4,12,12,1,15,9,2,0
339,2,2,0,2,10,5,0,4,12,6,6,5,1,19,3
340,2,2,0,5,10,0,2,4,12,12,6,5,17,19,0
341,2,2,0,5,10,0,2,4,12,12,1,5,17,19,0
342,2,2,0,5,10,0,2,4,12,12,1,15,11,2,0
343,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
344,2,2,0,5,10,11,5,4,12,12,1,15,9,2,4
345,2,2,0,5,10,11,5,4,12,12,1,15,9,2,0
346,0,0,3,2,1,5,0,2,3,6,6,5,1,0,5
347,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
348,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
349,0,0,3,0,1,5,0,2,3,6,6,5,1,19,5
350,0,0,3,0,1,5,0,2,3,6,0,9,1,19,5
351,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
352,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
353,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
354,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
355,0,0,3,2,1,5,0,0,3,6,6,5,0,0,3
356,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
357,0,0,3,2,1,5,0,0,3,6,6,5,0,0,3
358,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
359,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
360,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
361,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
362,0,0,3,2,1,5,0,0,3,6,6,5,1,4,3
363,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
364,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
365,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
366,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
