sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
83,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
84,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
85,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
86,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
87,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
88,2,0,3,6,4,8,8,4,7,2,12,2,12,11,7,3,5,11,19,11,7,12,4,3,20,13
89,2,0,3,6,4,8,8,4,7,9,8,2,4,2,7,16,5,20,19,11,1,19,12,6,18,12
90,2,0,3,6,4,8,8,4,7,9,8,2,12,2,7,16,5,11,19,11,1,19,4,6,20,13
91,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
92,2,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
93,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
94,4,2,6,4,1,3,7,1,11,10,13,8,5,13,15,9,16,14,15,2,0,22,19,21,12,16
95,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
96,2,0,3,6,4,8,8,8,7,9,8,2,4,2,1,16,5,20,0,5,1,19,12,6,18,12
97,2,2,6,4,1,3,7,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
98,2,0,3,6,4,8,8,8,7,9,8,2,4,2,1,16,5,20,19,5,1,19,12,6,18,12
99,2,0,3,6,2,8,8,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
100,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
101,0,1,0,3,2,0,1,8,1,9,3,13,13,10,1,13,4,20,0,5,1,0,12,7,18,12
102,2,0,0,3,2,8,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
103,2,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
104,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
105,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
106,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
107,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
108,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
109,2,0,3,6,4,8,8,4,7,2,12,2,4,11,13,3,18,12,19,5,15,19,24,3,3,22
110,2,0,3,6,4,8,8,4,7,9,8,2,4,2,1,16,4,20,0,5,1,19,12,6,18,12
111,2,0,0,3,2,8,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
112,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
113,2,0,3,6,4,8,8,4,7,9,12,2,4,2,1,16,4,20,0,5,1,19,12,6,18,12
114,2,0,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
115,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
116,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
117,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
118,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
119,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
120,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
121,2,0,0,3,2,8,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
122,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
123,2,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
124,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
125,4,2,6,4,1,3,7,1,6,4,13,12,11,15,14,12,7,14,22,18,20,13,7,21,15,11
126,2,0,0,3,2,8,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
127,2,0,3,6,4,8,8,8,7,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
128,2,0,3,6,4,8,8,8,7,9,8,2,4,2,1,16,4,20,0,5,1,19,12,6,18,12
129,2,0,3,6,4,8,8,8,7,9,8,2,4,2,1,16,4,20,0,5,1,19,12,6,18,12
130,2,0,3,6,4,8,8,4,7,2,8,2,4,2,7,16,5,11,19,11,1,25,4,6,20,13
131,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
132,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
133,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
134,2,0,0,3,2,8,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
135,1,2,6,4,1,3,7,1,11,10,13,12,5,13,15,9,16,14,15,2,9,22,19,21,12,16
136,0,1,0,3,2,0,7,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
137,2,0,0,3,2,8,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
138,2,0,3,6,4,8,8,8,7,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
139,2,0,3,6,4,8,8,4,7,2,12,2,12,2,7,16,5,11,19,11,1,25,4,6,20,13
140,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
141,0,2,6,4,1,3,7,8,11,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
142,4,2,6,4,1,4,7,1,6,4,13,12,11,15,11,12,7,14,22,18,20,13,7,21,15,11
143,4,2,6,4,1,3,7,1,6,4,13,12,11,15,14,12,7,14,22,18,20,13,7,21,15,11
144,2,2,6,4,1,8,7,8,6,4,8,1,4,2,1,16,7,14,22,18,1,19,7,6,15,12
145,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
146,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,25,18,12
147,2,0,3,6,4,8,8,4,7,2,12,2,12,11,7,3,5,11,19,11,1,12,4,6,19,13
148,2,0,3,6,4,8,8,4,7,9,8,2,4,2,10,16,5,4,19,5,1,2,4,6,19,28
149,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
150,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
151,3,3,5,2,0,2,4,2,3,5,2,6,1,14,16,14,8,8,21,17,19,8,16,22,1,23
152,3,3,5,2,0,2,4,2,3,5,2,6,1,14,16,14,8,8,21,17,19,8,16,22,1,23
153,3,3,5,2,0,2,4,2,3,5,2,6,1,14,16,1,8,8,21,17,19,8,16,22,1,23
154,3,3,5,2,0,2,4,2,3,5,2,6,1,14,16,14,8,8,21,17,19,8,16,22,1,23
155,3,3,5,2,0,2,4,2,3,5,2,6,1,14,16,14,8,8,21,17,19,8,16,22,1,23
156,3,3,5,2,0,2,4,2,3,5,2,6,1,14,16,14,8,8,21,17,19,8,16,22,1,23
157,3,3,5,2,0,2,4,2,3,5,2,6,1,14,16,14,8,8,21,17,19,8,16,22,1,23
158,3,3,5,2,0,2,4,2,3,5,2,6,1,9,16,14,8,8,17,17,19,8,23,22,1,23
159,2,0,3,6,4,8,8,4,7,2,12,2,12,9,7,11,5,11,17,11,7,12,4,27,20,13
160,2,0,3,6,4,8,8,4,7,2,12,2,12,9,7,11,5,11,19,11,7,12,4,27,20,13
161,3,4,2,0,3,6,5,9,6,4,13,14,11,15,14,12,19,15,22,18,20,13,9,16,15,11
162,4,4,4,5,3,4,2,9,10,11,11,0,14,4,9,7,18,10,12,0,3,4,0,11,11,22
163,4,2,6,4,1,3,7,1,6,4,13,12,11,4,3,5,2,14,8,13,0,18,5,19,12,16
164,3,3,5,2,0,2,4,2,3,5,2,6,1,14,16,1,8,3,21,17,19,8,16,19,1,2
165,3,3,5,2,0,2,4,2,3,5,2,6,1,14,16,1,8,8,21,17,19,8,16,22,1,23
166,4,2,6,4,1,3,7,1,6,4,13,12,11,15,14,12,7,14,22,18,20,13,7,21,15,11
