k,cluster,condition,n,onset_pct,crosses,polarity,onset_stim_pct,onset_resp_pct,resp_carryover,peak_pct,peak_db,peak_stim_pct,peak_stim_db,peak_resp_pct,peak_resp_db,mean_db,auc_post_go
17,13,reading,6,1.1666666666666667,True,activation,1.1666666666666667,50.166666666666664,True,4.833333333333333,5.492859681447347,4.833333333333333,5.492859681447347,50.49999999999999,1.4596973558266957,1.0744938940060091,-0.37890795505773794
17,14,audio,185,41.83333333333333,True,suppression,41.83333333333333,,False,41.83333333333333,-0.5115713872267185,41.83333333333333,-0.5115713872267185,50.49999999999999,-0.3519961741249505,-0.1547890518461061,-0.049630804811609947
17,14,picture,185,,False,suppression,,,False,20.5,-0.4317396604339592,20.5,-0.4317396604339592,51.83333333333333,-0.36803686434176525,-0.19305761564636092,-0.13618534360585843
17,14,reading,185,18.5,True,suppression,18.5,50.166666666666664,False,30.166666666666668,-0.696897584929861,30.166666666666668,-0.696897584929861,55.49999999999999,-0.604306818356083,-0.3011500310223865,-0.2084704082251754
17,15,audio,150,32.49999999999999,True,activation,32.49999999999999,51.166666666666664,False,68.5,0.7835619082146634,42.83333333333333,0.5217180415491263,68.5,0.7835619082146634,0.42418425818212135,0.5449477543161447
17,15,picture,150,8.166666666666666,True,activation,8.166666666666666,50.166666666666664,True,28.5,0.8909004737312595,28.5,0.8909004737312595,75.83333333333333,0.7584748661828538,0.5895612822031958,0.5649653061863947
17,15,reading,150,2.4999999999999996,True,activation,2.4999999999999996,50.166666666666664,False,77.16666666666667,0.7427884827554226,30.5,0.6876727125622953,77.16666666666667,0.7427884827554226,0.5040850510507048,0.5031077370193808
17,16,audio,390,,False,activation,,,False,70.16666666666667,0.3923421891656919,33.166666666666664,0.3025388964290659,70.16666666666667,0.3923421891656919,0.10754350980269223,0.15420811331533368
17,16,picture,390,,False,activation,,,False,69.5,0.39780716867266724,35.49999999999999,0.261039750422172,69.5,0.39780716867266724,0.15272969785998883,0.1874560314421083
17,16,reading,390,,False,activation,,,False,76.83333333333333,0.3879420767791975,2.833333333333333,0.2850151502031785,76.83333333333333,0.3879420767791975,0.1315668026261152,0.14697503179086965
