condition,band_idx,band_lo,band_hi,band,time_bin,kind,coef[7Networks_1],coef[7Networks_2],coef[7Networks_3],coef[7Networks_4],coef[7Networks_5],coef[7Networks_6],coef[7Networks_7],importance
picture,-1,70.0,150.0,HG 70-150Hz,10,hg,0.08951609882587067,-0.023066570895731713,-0.08378922482627511,-0.044157564078040515,-0.0005554533740704196,0.0406460582164237,0.021406656131823448,0.043305375192605085
picture,-1,70.0,150.0,HG 70-150Hz,11,hg,0.11531390347086558,0.015724648976018413,-0.08777476128993113,-0.08011067476966102,-0.024920333311143003,0.013252343316298402,0.04851487360755319,0.055087362677352966
picture,-1,70.0,150.0,HG 70-150Hz,12,hg,0.1329576972054338,0.052983094561169376,-0.05883764161299386,-0.11187097929119938,-0.052265157404361495,-0.01683263950606663,0.05386562604801846,0.06851611937560614
picture,-1,70.0,150.0,HG 70-150Hz,13,hg,0.13507663214071092,0.054838360048155115,-0.05413560953229018,-0.08509011204482012,-0.055245177131351714,-0.03834021069620466,0.04289611721580061,0.06651745982990474
picture,-1,70.0,150.0,HG 70-150Hz,14,hg,0.12186150703164314,0.03632015747714859,-0.07121876326866897,0.0068303202384833945,-0.06848277150592733,-0.041850077417139114,0.016539627444459564,0.05187188919763858
picture,-1,70.0,150.0,HG 70-150Hz,15,hg,0.10515288808650208,0.015174480712317692,-0.09692866183448338,0.0931510819833456,-0.07725065843262448,-0.042927756553305385,0.0036286260382480074,0.06203059337726095
picture,-1,70.0,150.0,HG 70-150Hz,16,hg,0.08678057703942588,0.006275569522578547,-0.06781001890291093,0.11504747666095849,-0.06417369335916626,-0.04599209228940154,-0.030127818671484775,0.05945817806370378
picture,-1,70.0,150.0,HG 70-150Hz,17,hg,0.07553723536062962,0.02358103750206589,-0.014769526934961953,0.07938057939989247,-0.04493466548482427,-0.052903996010599925,-0.06589066383220225,0.0509996720750252
picture,-1,70.0,150.0,HG 70-150Hz,18,hg,0.062251540085133866,0.0364889697307084,0.02868950920537002,0.04381808400334406,-0.02209460355319389,-0.05644583651466989,-0.0927076629566918,0.04892802943558742
picture,-1,70.0,150.0,HG 70-150Hz,19,hg,0.04765524235505976,0.04712754037297062,0.03767986453888774,-0.005152609912938625,-0.03561562103516604,-0.02811533751683349,-0.06357907880197979,0.03784647064769086
picture,-1,70.0,150.0,HG 70-150Hz,20,hg,0.04707125432909262,0.04877675821443312,0.07361139358026142,-0.08342464713581664,-0.060999358079572956,-0.005521772792465074,-0.019513628115931738,0.04841697317822479
picture,-1,70.0,150.0,HG 70-150Hz,21,hg,0.04689909134237594,0.04908159965058637,0.11618857823182548,-0.15540905858981238,-0.08494746465851585,0.01941579012686966,0.008771463896670426,0.06867329235666517
picture,-1,70.0,150.0,HG 70-150Hz,22,hg,0.040170247830778875,0.05561538024168626,0.13438217930098348,-0.1866581913461825,-0.08303461768005974,0.0373982082238997,0.0021267934288936884,0.07705508829321203
picture,-1,70.0,150.0,HG 70-150Hz,23,hg,0.02188724479002343,0.057497430890216174,0.11159221951527805,-0.15995372638891503,-0.06127037212284303,0.012949656244627471,0.01729754707161391,0.06320688528907387
picture,-1,70.0,150.0,HG 70-150Hz,24,hg,0.006975614054821785,0.06414094609038973,0.08795473959501422,-0.13388857290402015,-0.04248677104633969,-0.014272657778182915,0.031576701988317774,0.054470857636726606
picture,-1,70.0,150.0,HG 70-150Hz,25,hg,0.0008132830211270657,0.08242590102293386,0.05271606330490634,-0.1071168972275323,-0.025513399299322673,-0.06182753333255881,0.05850258251044696,0.055559379959832574
picture,-1,70.0,150.0,HG 70-150Hz,26,hg,-0.021566960452480466,0.08321056050636087,0.05682271536664238,-0.0813259399844436,0.015633231550060075,-0.0970290929593737,0.04425548597323484,0.057120569541799414
picture,-1,70.0,150.0,HG 70-150Hz,27,hg,-0.04618538874279058,0.07717788076069235,0.040784872596072774,-0.05105994846536194,0.061100034050067746,-0.12371293144564915,0.04189548124696965,0.0631309339010863
picture,-1,70.0,150.0,HG 70-150Hz,28,hg,-0.05413420178714047,0.05865679174932559,0.027300104791655958,-0.016164980322082138,0.10034271363725733,-0.1395225311796294,0.023522103110613535,0.05994906093967207
picture,-1,70.0,150.0,HG 70-150Hz,29,hg,-0.04378188263820205,0.025887542448178206,0.02375051296998321,0.019041458993001404,0.10247471566225655,-0.10557273763221629,-0.021799609803001926,0.04890120859240566
picture,-1,70.0,150.0,HG 70-150Hz,30,hg,-0.029055932858940436,-0.006342804682460029,0.000259842480719749,0.05718648221320809,0.10361522173316111,-0.06773860029713696,-0.057924208588551955,0.04601758469345405
picture,-1,70.0,150.0,HG 70-150Hz,31,hg,-0.011705942738893341,-0.05849166321643914,-0.023851971962524917,0.059239264131065214,0.1248143216596957,-0.029535542215802513,-0.06046846565710089,0.05258673879736025
picture,-1,70.0,150.0,HG 70-150Hz,32,hg,0.009633285140936454,-0.0918465754772491,-0.04359577274412148,0.040957342348061615,0.13112753428948,-0.002087328841101853,-0.04418848471600652,0.051919474793851006
picture,-1,70.0,150.0,HG 70-150Hz,33,hg,0.027553441040202974,-0.11111668487855769,-0.07701336533984583,0.01954294479469119,0.13647845431778516,0.01938325911517452,-0.014828049049450563,0.05798802836224398
picture,-1,70.0,150.0,HG 70-150Hz,34,hg,0.029489781792787658,-0.09179605284520659,-0.0641858579465198,-0.006793954129727532,0.1336018479305587,0.027537863241489626,-0.027853628043382386,0.05446556941852461
picture,-1,70.0,150.0,HG 70-150Hz,35,hg,0.021688544445903367,-0.050161511891955037,-0.039260709033820715,-0.0529543351513133,0.12293372549945807,0.005930353002236584,-0.008176066870508111,0.04301503512788502
picture,-1,70.0,150.0,HG 70-150Hz,36,hg,0.01359479309103472,-0.009615493536236589,-0.01481260010577194,-0.09632322629301564,0.10511213730888812,-0.010928866942558648,0.01297325647766,0.03762291053645223
picture,-1,70.0,150.0,HG 70-150Hz,37,hg,0.013290159217894806,0.011151585432141207,0.004739532652740353,-0.09404201954945866,0.04567106514546992,-0.007508734244428617,0.026698411345641257,0.029014501083967827
picture,-1,70.0,150.0,HG 70-150Hz,38,hg,0.026717639054526583,0.01075716569700607,-0.0029021800622585667,-0.0615454926517348,0.023439432768613978,0.0023158364387205785,0.0012175987551261943,0.018413620775426683
picture,-1,70.0,150.0,HG 70-150Hz,39,hg,0.04257963905003763,0.0007142292908082895,-0.024630312384863847,-0.0413865700431774,0.019765341008620315,0.017262880749606975,-0.014305207671032254,0.022949168599735243
picture,-1,70.0,150.0,HG 70-150Hz,40,hg,0.05543479704498535,-0.011021741929451509,-0.022915395812483922,-0.023911457079350478,0.013569354737149507,0.017724922357938065,-0.028880479318786838,0.024779735468592242
picture,-1,70.0,150.0,HG 70-150Hz,41,hg,0.07207215057637248,-0.029469041575892377,-0.014180524223486988,-0.002983852462907466,-0.016684786547423315,0.04813229796746974,-0.0568862437341321,0.03434412815538349
picture,-1,70.0,150.0,HG 70-150Hz,42,hg,0.08486740034874819,-0.05098495179314697,-0.005380390385372713,0.020662186980148406,-0.046219351022251054,0.07015814668695466,-0.07310304081508043,0.050196495433100355
picture,-1,70.0,150.0,HG 70-150Hz,43,hg,0.08945008834281724,-0.06457775444877559,-0.004397623834517233,0.0412305132184054,-0.06689214070448253,0.0744612985595495,-0.06927438113299719,0.058611971463077804
picture,-1,70.0,150.0,HG 70-150Hz,44,hg,0.08244468601831183,-0.07050622105526053,-0.006898102162442491,0.042528598175872324,-0.09285776032646806,0.07499929972583393,-0.029710500375847094,0.057135023977148036
picture,-1,70.0,150.0,HG 70-150Hz,45,hg,0.07145320947486622,-0.0678258216409154,-0.021838464357744045,0.04518505658524742,-0.10924422476225151,0.082221616308712,4.862839208513061e-05,0.056831003074545965
picture,-1,70.0,150.0,HG 70-150Hz,46,hg,0.06851915957352886,-0.05305417581998926,-0.0392510068010732,0.025839504587718633,-0.09863353758138911,0.10726483949649022,-0.010684783455286518,0.05760671533078226
picture,-1,70.0,150.0,HG 70-150Hz,47,hg,0.07188378259007291,-0.038796458439088556,-0.03719174632580109,-0.008299088587067563,-0.06034181297530982,0.10298681201536328,-0.030241488278169294,0.04996302703012464
picture,-1,70.0,150.0,HG 70-150Hz,48,hg,0.07354134857439963,-0.030356557768708,-0.02376165658117528,-0.02986808459054988,-0.03654937286477427,0.0987616419779742,-0.051767318747165655,0.04922942587210671
picture,-1,70.0,150.0,HG 70-150Hz,49,hg,0.075430408964501,-0.037639298903031464,0.006153484982209653,-0.028059958972327555,-0.04297799486624268,0.07986562818354973,-0.052772269388657846,0.04612843489435999
