sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23
227,1,1,4,2,4,8,1,6,1,10,2,8,10,8,7,17,19,6,3,11
228,1,1,4,2,4,8,1,6,1,10,2,8,10,8,7,17,19,6,3,11
229,1,3,1,2,5,2,1,1,10,11,10,11,14,2,6,18,19,19,18,21
230,1,1,4,1,4,8,9,6,1,12,2,1,2,0,7,2,2,20,14,11
231,1,1,4,2,4,2,1,1,10,3,10,14,4,2,7,9,19,14,20,21
232,1,1,4,2,4,2,1,1,10,3,10,14,4,2,7,9,19,14,3,21
233,0,0,2,6,3,4,0,10,0,6,9,1,2,1,11,2,2,14,20,21
234,3,3,4,4,4,8,0,1,0,3,9,1,2,2,11,9,19,14,20,21
235,1,1,4,1,4,8,0,8,0,3,9,1,2,2,11,2,2,14,20,21
236,1,1,4,1,4,8,0,8,0,3,9,1,2,2,4,2,2,14,8,21
237,1,1,4,1,4,8,0,8,0,3,9,1,2,2,4,2,2,14,20,21
238,1,1,4,1,4,8,9,6,2,12,2,12,4,0,1,2,2,20,16,17
239,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,7
240,1,1,4,1,4,8,9,1,10,3,4,12,4,2,11,9,19,14,20,21
241,1,1,4,1,4,8,0,8,0,3,9,1,2,2,11,9,19,14,20,21
242,1,1,4,1,4,8,9,6,2,3,4,1,2,2,11,2,2,14,20,21
243,1,1,4,1,4,8,0,8,0,3,9,1,2,0,11,2,2,14,8,21
244,1,1,4,1,4,8,0,8,0,3,9,1,2,0,11,2,2,14,8,21
245,1,3,1,2,4,2,1,1,10,3,0,14,2,2,11,9,19,14,20,21
246,1,1,4,2,4,8,9,1,10,3,4,1,0,2,7,9,4,14,20,21
247,1,1,4,2,5,2,1,3,4,12,0,14,2,0,7,14,2,2,14,19
248,3,3,1,4,0,3,1,1,10,3,13,1,2,2,11,9,19,14,20,21
