sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
327,8,9,10,11,11,12,13,14,14,15,16
328,9,10,11,12,12,13,14,15,16,17,18
329,9,10,11,12,12,13,14,15,16,17,18
330,9,10,11,12,12,13,14,15,16,17,18
331,8,9,10,11,11,12,13,14,14,15,16
332,8,9,10,11,11,12,13,14,14,15,16
333,8,9,10,11,11,12,13,14,14,15,16
334,8,9,10,11,11,12,13,14,14,15,16
335,8,9,10,11,11,12,13,14,14,15,16
336,9,10,11,12,12,13,14,15,16,17,18
337,9,10,11,12,12,13,14,15,16,17,18
338,9,10,11,12,12,13,14,15,16,17,18
339,8,9,10,11,11,12,13,14,14,15,16
340,9,10,11,12,12,13,14,15,16,17,18
341,9,10,11,12,12,13,14,15,16,17,18
342,9,10,11,12,12,13,14,15,16,17,18
343,9,10,11,12,12,13,14,15,16,17,18
344,9,10,11,12,12,13,14,15,16,17,18
345,9,10,11,12,12,13,14,15,16,17,18
346,9,10,11,12,12,13,14,15,16,17,18
347,9,10,11,12,12,13,14,15,16,17,18
348,8,9,10,11,11,12,13,14,14,15,16
349,9,10,11,12,12,13,14,15,16,17,18
350,9,10,11,12,12,13,14,15,16,17,18
351,7,8,9,10,10,11,12,12,12,13,14
352,7,8,9,10,10,11,12,12,12,13,14
353,7,8,9,10,10,11,12,12,12,13,14
354,8,9,10,11,11,12,13,13,13,14,15
355,8,9,10,11,11,12,13,13,13,14,15
356,9,10,11,12,12,13,14,15,16,17,18
357,9,10,11,12,12,13,14,15,16,17,18
358,9,10,11,12,12,13,14,15,16,17,18
359,7,8,9,10,10,11,12,12,12,13,14
360,3,3,3,4,4,4,4,4,4,4,5
361,7,8,9,10,10,11,12,12,12,13,14
362,7,8,9,10,10,11,12,12,12,13,14
363,7,8,9,10,10,11,12,12,12,13,14
364,7,8,9,10,10,11,12,12,12,13,14
365,7,8,9,10,10,11,12,12,12,13,14
366,7,8,9,10,10,11,12,12,12,13,14
367,7,8,9,10,10,11,12,12,12,13,14
368,7,8,9,10,10,11,12,12,12,13,14
369,3,3,4,5,5,5,5,5,5,6,7
370,3,3,3,4,4,4,4,4,4,4,5
371,3,3,4,5,5,5,5,5,5,6,7
372,4,5,6,7,7,7,7,7,7,8,9
373,3,3,4,5,5,5,5,5,5,6,7
374,3,3,4,5,5,5,5,5,5,6,7
375,3,3,4,5,5,5,5,5,5,6,7
376,3,3,4,5,5,5,5,5,5,6,7
377,3,3,4,5,5,5,5,5,5,6,7
