sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
318,7,4,11,0,10,11,1,1,2,1,19
319,0,0,2,8,13,13,8,5,13,5,17
320,1,1,9,10,1,1,5,11,6,7,18
321,1,1,10,10,1,1,5,6,6,7,18
322,3,5,10,1,4,4,4,0,4,9,7
323,6,4,7,4,3,6,10,10,8,6,9
324,6,4,7,4,3,6,10,10,8,1,9
325,9,10,7,4,0,6,1,15,1,1,9
326,6,4,7,4,5,0,0,15,1,1,9
327,1,1,9,0,5,0,0,4,13,9,3
328,9,10,7,4,5,0,1,15,1,1,9
329,2,8,0,3,12,9,12,12,12,11,1
330,0,0,11,8,13,11,8,5,2,12,19
331,7,6,11,0,10,11,13,1,2,12,19
332,0,0,2,8,13,0,0,4,13,9,3
333,0,0,2,8,13,13,8,5,13,9,17
334,0,0,2,8,13,13,8,5,13,5,17
335,9,10,0,3,12,5,1,15,1,11,15
336,1,0,9,0,5,0,0,4,13,9,3
337,6,4,9,2,11,12,11,16,5,14,9
338,6,4,7,4,3,6,1,15,1,1,9
339,6,4,7,0,3,6,11,4,8,1,9
340,6,4,7,4,3,6,10,10,8,6,9
341,6,4,7,4,3,6,10,10,8,6,9
342,6,4,7,4,3,6,10,10,8,6,9
343,9,6,4,6,10,7,13,14,15,4,8
344,9,10,7,4,3,6,1,15,1,1,9
345,7,4,7,0,5,6,1,15,1,1,9
346,8,9,8,11,6,8,7,9,9,13,10
347,8,3,1,7,8,3,14,2,16,17,14
348,8,3,8,7,6,8,14,2,16,17,14
349,8,3,8,7,6,8,14,2,16,17,14
350,8,3,8,7,6,8,14,2,16,17,14
351,8,3,8,7,6,8,14,2,16,17,14
352,8,9,8,11,6,8,7,9,9,13,10
353,8,9,8,11,6,8,7,9,9,13,10
354,0,0,2,8,13,13,8,5,11,5,17
355,3,5,10,1,4,4,4,0,11,0,16
356,0,0,2,1,4,13,4,0,11,0,16
357,0,0,2,8,13,13,4,0,11,0,16
358,0,0,2,8,13,13,4,0,11,0,16
359,0,0,2,8,13,13,4,0,11,0,16
360,0,0,2,8,13,13,4,0,11,0,16
361,0,0,2,8,13,13,4,0,11,0,16
362,0,5,10,1,4,13,4,0,11,0,16
363,1,5,10,1,4,4,5,11,10,7,18
364,1,5,10,1,4,4,5,11,10,7,18
365,3,5,10,1,4,4,5,11,4,15,7
366,0,0,2,8,1,1,4,0,13,9,6
367,1,1,9,10,1,1,4,4,10,9,6
368,1,1,9,10,1,1,4,4,13,9,6
369,3,5,10,1,4,4,4,11,4,15,7
370,9,10,4,6,0,5,9,15,1,16,8
371,9,10,4,6,0,5,9,14,15,16,8
372,9,10,4,6,0,5,9,14,15,16,8
373,9,10,7,4,3,6,1,15,1,6,9
374,9,10,4,6,0,5,9,15,1,16,8
375,9,10,7,4,0,5,1,15,1,6,9
376,3,5,1,7,8,4,5,11,4,17,7
377,3,5,10,1,4,4,5,11,4,15,7
378,3,5,10,1,4,4,4,0,4,15,7
379,3,4,7,4,3,6,10,10,8,15,9
380,3,5,10,1,4,4,5,11,4,15,7
381,3,5,10,1,4,4,5,11,4,15,7
