sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23
38,0,2,4,6,6,3,1,6,2,12,12,8,8,5,13,8,0,8,13,6
39,0,2,4,6,6,3,1,6,2,12,12,11,8,5,13,8,0,8,13,6
40,2,3,2,2,7,4,6,4,3,1,1,1,1,14,10,0,18,6,12,2
41,2,0,5,3,1,1,8,5,9,4,3,6,13,1,5,1,13,14,4,4
42,2,0,5,3,1,1,8,5,9,4,3,3,13,1,5,1,13,14,4,4
43,2,0,5,3,1,1,8,5,9,4,3,6,13,1,5,1,7,14,4,4
44,3,4,5,5,2,1,5,9,1,7,8,3,4,4,5,1,7,14,4,3
45,3,4,3,5,2,0,5,9,1,7,8,0,3,4,8,13,7,14,4,14
46,3,4,3,5,2,0,5,9,1,7,8,0,4,4,11,13,7,14,4,14
47,2,3,2,2,7,4,6,4,3,1,1,1,1,14,10,0,18,6,12,12
48,2,3,2,2,7,4,0,4,3,1,1,1,1,14,10,0,18,6,12,2
49,2,3,2,2,7,0,0,0,8,9,13,9,3,7,8,7,17,2,0,12
50,2,3,2,2,7,4,0,0,3,1,1,1,1,14,10,0,18,6,12,12
51,2,3,2,2,7,4,0,4,3,1,1,1,1,14,10,0,18,6,12,2
52,2,0,5,3,1,1,8,5,6,10,3,6,13,9,5,2,13,1,2,4
53,2,0,5,3,1,1,8,8,9,10,11,6,13,2,5,11,7,1,18,14
54,1,3,2,2,7,0,0,0,8,9,13,4,12,2,12,11,17,6,12,12
55,2,0,5,3,1,1,8,8,9,4,3,6,13,1,5,1,7,14,4,14
56,2,0,5,3,1,1,8,5,9,4,3,3,13,1,5,1,13,14,4,4
57,2,0,5,3,1,1,8,5,9,4,3,3,13,1,5,1,13,14,4,14
58,3,0,5,3,1,1,8,5,9,4,7,3,4,1,5,1,16,14,4,3
59,3,0,5,3,1,1,5,5,9,4,7,3,4,1,5,1,16,14,4,3
60,2,0,5,3,1,0,0,8,8,9,11,4,12,2,12,11,7,4,18,14
61,2,0,5,2,7,0,0,8,8,9,13,4,12,2,12,11,7,4,18,14
62,2,0,5,2,7,0,0,8,8,9,13,4,12,2,12,11,7,4,18,14
63,1,3,2,2,7,2,0,0,8,2,9,1,5,0,7,4,15,16,14,1
64,1,3,2,2,7,0,0,0,8,9,13,9,3,7,8,7,17,2,0,12
65,1,3,2,2,7,0,0,0,8,9,13,9,3,7,8,7,15,2,0,18
66,1,3,0,1,3,2,3,3,10,2,9,13,5,0,7,4,15,16,14,1
67,1,3,0,1,3,2,3,3,10,2,9,13,5,0,7,4,15,16,14,1
68,1,3,0,1,3,2,3,3,10,2,9,13,5,0,14,4,8,11,11,15
69,1,3,0,1,3,2,3,3,10,2,9,13,5,0,14,4,8,11,11,15
70,2,0,2,2,7,0,0,8,8,10,11,4,12,2,12,11,12,6,18,2
71,1,3,0,1,3,2,3,3,10,2,9,13,5,0,14,4,8,11,11,15
72,2,0,5,2,7,0,0,8,8,10,11,4,12,2,12,11,12,6,18,14
73,2,0,5,2,7,0,0,8,8,10,11,4,12,2,12,11,12,5,18,7
74,0,2,4,4,6,0,2,8,7,0,5,4,12,2,12,11,12,5,18,7
75,0,2,4,4,6,3,2,6,7,0,5,11,2,8,9,11,6,5,7,7
76,0,2,4,4,6,3,2,6,7,0,5,11,2,8,9,11,6,5,7,7
77,0,2,4,4,6,3,2,6,7,0,5,11,2,8,9,11,6,5,7,7
78,1,3,0,1,3,2,3,3,10,6,0,13,15,13,14,18,8,11,11,15
79,1,3,0,1,3,2,3,3,10,2,9,13,5,0,14,4,8,11,11,15
80,2,0,5,3,1,4,6,4,6,10,11,7,14,9,0,2,5,1,19,2
81,2,0,5,3,1,4,6,4,6,10,11,7,14,9,0,2,5,1,19,2
82,2,0,5,3,1,1,8,5,6,10,11,7,14,9,0,2,5,1,2,2
83,3,0,5,3,1,1,8,5,9,4,7,3,4,1,5,1,16,14,4,3
84,2,0,5,3,1,1,8,5,6,10,11,7,13,9,10,2,18,6,2,2
85,2,3,2,2,7,4,6,4,3,1,1,6,1,14,10,0,18,20,2,2
86,2,0,5,3,1,0,0,8,8,10,11,4,12,2,12,11,7,4,18,14
87,2,0,2,2,7,0,0,8,8,9,13,4,12,2,12,11,7,4,18,14
