sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
95,4,1,2,3,2,9,3,2,0,12,6,1,12,2,2,15,1,3,7,19,14,12,22,11,7,17
96,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,15,1,17,21,13,14,16,5,9,25,16
97,4,4,5,2,3,5,4,2,11,9,10,12,12,2,2,15,1,19,7,6,14,12,22,11,7,17
98,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,13,14,16,5,9,25,16
99,4,1,2,1,6,3,3,6,0,12,6,1,12,2,2,15,1,3,7,19,14,12,22,11,7,17
100,0,0,0,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
101,0,0,0,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
102,4,1,2,1,2,3,3,2,0,12,6,1,12,2,2,15,1,3,7,19,14,12,22,11,7,17
103,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,1,3,7,19,14,12,22,11,7,17
104,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
105,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
106,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
107,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
108,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
109,4,1,2,1,6,3,8,6,2,7,13,14,8,14,18,12,17,17,14,13,12,1,5,9,20,1
110,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,13,14,16,5,9,25,16
111,4,1,2,1,6,3,3,6,2,7,6,1,12,2,2,15,1,3,7,19,14,12,22,11,7,17
112,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,1,3,7,19,14,12,22,11,7,17
113,4,1,2,1,6,3,8,6,2,7,13,14,8,10,18,12,17,17,14,13,12,1,5,9,25,16
114,4,1,2,1,2,9,3,2,0,12,6,1,12,2,16,15,17,3,7,19,14,12,22,11,7,17
115,0,0,0,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
116,0,0,0,3,2,9,3,7,0,9,12,1,12,2,8,15,4,3,7,19,14,12,22,11,7,17
117,0,0,0,3,2,9,3,7,0,9,12,1,12,2,8,15,4,3,3,19,14,12,22,11,7,17
118,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
119,4,1,2,1,6,3,3,6,0,12,6,1,12,2,2,15,1,3,7,19,14,12,22,11,7,17
120,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,1,3,7,19,14,12,22,11,7,17
121,4,1,2,1,6,3,3,6,0,12,6,1,12,2,2,15,1,3,7,19,14,12,22,11,7,17
122,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,1,3,7,19,14,12,22,11,7,17
123,4,1,2,1,2,3,3,2,0,12,6,1,12,2,2,15,1,3,7,19,14,12,22,11,7,17
124,0,0,0,3,2,9,3,2,0,12,6,1,12,2,16,15,7,3,7,19,14,12,22,11,7,17
125,0,4,5,2,3,5,4,7,5,9,12,12,10,15,0,14,7,2,19,3,8,24,19,20,18,2
126,4,1,2,1,6,3,3,6,0,12,6,1,12,2,2,15,1,3,7,19,14,12,22,11,7,17
127,4,1,2,1,6,3,8,6,2,7,13,1,12,2,2,15,1,3,7,19,14,12,22,11,7,17
128,4,1,2,1,6,3,8,6,2,7,13,1,8,2,2,15,1,3,7,13,14,12,22,9,7,17
129,4,1,2,1,6,3,8,6,2,7,13,1,8,2,2,15,1,3,7,13,14,16,22,9,7,29
130,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,6,14,16,5,2,25,16
131,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,1,3,7,19,14,12,22,11,7,17
132,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,1,3,7,19,14,12,22,11,7,17
133,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
