sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
153,4,5,6,3,0,8,2,10,10,13,9,11,14,3,8,2,18,6,5,7,20,6,11,1,11,10
154,3,5,6,3,8,8,2,10,12,3,1,2,6,11,3,1,2,15,21,4,2,4,4,5,21,24
155,3,2,2,4,8,4,8,2,4,3,1,2,6,11,3,1,2,15,21,4,2,4,4,5,21,24
156,3,2,2,4,8,4,8,2,4,3,1,2,6,11,3,1,2,15,21,4,2,4,4,5,21,24
157,3,2,2,4,8,4,8,2,4,3,1,2,6,11,3,1,2,15,21,4,2,4,4,5,21,24
158,3,2,2,4,8,8,2,10,12,3,1,2,6,11,3,1,2,15,21,4,2,4,4,5,21,24
159,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,7,20,6,11,1,11,10
160,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,7,16,6,11,1,11,26
161,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,7,4,6,11,1,27,10
162,2,1,4,1,6,9,1,8,10,2,11,7,15,6,11,3,5,5,22,2,1,1,7,21,15,29
163,4,1,4,1,6,9,1,8,7,2,11,8,15,6,11,7,9,2,6,14,1,1,1,21,4,0
164,4,5,6,3,0,8,2,10,12,13,6,15,0,3,11,15,15,5,18,2,4,22,7,1,27,10
165,3,2,2,4,8,4,8,10,12,3,1,2,6,11,3,1,2,15,21,4,2,4,4,5,21,24
166,4,1,4,1,6,5,9,3,10,2,11,7,16,6,11,3,7,5,18,5,7,1,10,10,15,29
167,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,7,20,6,11,1,11,26
168,4,5,6,3,0,5,9,3,10,2,11,7,16,3,11,3,7,5,18,5,20,22,0,10,15,29
169,4,5,6,3,0,8,2,3,10,13,11,7,16,3,8,2,5,5,5,2,4,22,7,1,27,10
170,4,1,4,1,6,5,1,3,10,2,11,7,16,6,11,3,5,5,22,2,1,22,7,12,15,8
171,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,7,16,6,11,1,11,26
172,3,2,2,4,8,4,8,2,4,3,1,2,6,11,3,1,2,15,21,4,2,4,4,5,21,24
173,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,15,6,5,7,4,6,7,1,27,10
174,4,5,6,3,6,5,1,3,10,2,11,7,16,3,11,3,5,6,18,2,20,22,0,21,1,1
175,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,7,16,6,11,1,11,26
176,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,7,16,6,11,1,11,26
177,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,7,16,6,11,1,11,10
178,4,5,6,3,0,8,2,10,12,13,9,11,14,14,8,2,15,6,5,7,16,6,11,1,11,10
179,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,15,6,5,7,4,6,11,1,27,10
180,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,15,6,5,7,4,6,11,1,27,10
181,4,5,6,3,0,5,9,3,10,2,11,7,16,3,11,15,7,5,18,5,20,22,10,10,15,1
182,4,5,6,3,0,8,9,3,10,13,9,11,14,3,8,2,18,6,0,7,20,6,0,1,1,1
183,4,1,4,1,6,5,9,3,10,2,11,7,16,6,11,3,7,5,18,5,7,1,10,10,15,29
184,3,2,2,5,5,6,5,11,8,8,8,10,10,16,12,12,14,7,8,19,11,15,16,11,9,9
185,3,2,2,5,5,6,5,11,8,8,8,10,10,16,12,12,14,7,8,19,11,15,16,11,9,9
