condition,band_idx,band_lo,band_hi,band,time_bin,kind,coef[17Networks_1],coef[17Networks_10],coef[17Networks_11],coef[17Networks_12],coef[17Networks_13],coef[17Networks_14],coef[17Networks_15],coef[17Networks_16],coef[17Networks_17],coef[17Networks_2],coef[17Networks_3],coef[17Networks_4],coef[17Networks_5],coef[17Networks_6],coef[17Networks_7],coef[17Networks_8],coef[17Networks_9],importance
reading,-1,70.0,150.0,HG 70-150Hz,200,hg,-0.004164712494676549,0.000762043559018751,-0.02964600757265832,-0.02645165847204866,0.00016337479612640534,-0.01239234059102267,0.017547861842247853,0.0038084977567277205,0.0071292919130423,0.020870487551199607,-0.004541498310098407,0.01610281922089665,0.007501336840417122,-0.04378692940338342,0.015206247529708934,0.019292540017859013,0.012598645816643812,0.014233311393398599
reading,-1,70.0,150.0,HG 70-150Hz,201,hg,-0.003845619513021219,-0.010112821516886049,-0.018519943693957854,-0.01859650804325314,-0.0017365775508270025,-0.024700038994385026,0.029392022410901317,-0.0019119125499291398,0.0051553096309408675,0.018484018611530817,-0.0009463229190089475,0.012049705956153787,0.014183754965881272,-0.04763480700108965,0.008295794724584592,0.024512972324524193,0.015930973157841335,0.0150593590332186
reading,-1,70.0,150.0,HG 70-150Hz,202,hg,0.0010280898254278082,-0.0058002699853514274,-0.008660941153449153,-0.007182517171322573,-0.006955498111791409,-0.026216487570611426,0.01847647367972629,-0.0004047901408102524,0.005881946226107904,0.00918287770131725,0.004735493009381074,-0.00470885018931698,0.019596552682868393,-0.06474469557879535,0.01763465572188431,0.033152783753290574,0.01498517730144524,0.014667535282523379
reading,-1,70.0,150.0,HG 70-150Hz,203,hg,-0.00131650403285014,-0.003115878848986423,-0.012521688151451774,-0.020577301090347475,0.010054947633823315,-0.03437678742498149,0.008962302728117471,0.0010193320863877582,0.006328395677744407,-0.00575147369372582,0.01122495607351309,-0.015294490582353503,0.004463939738338776,-0.04375350714321174,0.04164095132127281,0.0385968022558111,0.014416003452899988,0.01608325070210689
reading,-1,70.0,150.0,HG 70-150Hz,204,hg,-0.007949299976341235,-0.007363362781290934,-0.02071821021347136,-0.021510241895990514,0.0025675285164496017,-0.03241173408051176,0.013673730605222085,-0.0026283328654143185,0.00404363061323889,-0.003942862577881077,0.014647395140831503,-0.014051048571742136,0.0011639076616054495,-0.008610543763271425,0.04486347362248555,0.021115957093690893,0.017110013472391244,0.014021839614813528
reading,-1,70.0,150.0,HG 70-150Hz,205,hg,-0.007698414315952904,-0.035471946701444934,-0.014278903830048371,-0.015555463601634631,-0.012809648371507443,-0.013746127499391478,0.0046191803400133435,0.014650275624187031,0.0012511099246523085,0.0072136925111199604,0.02062605514857248,-0.004767937565112609,0.0018775989209985223,-0.0068058154401678065,0.025479788493845638,0.023281861872333904,0.012134694489537188,0.013074618508854153
reading,-1,70.0,150.0,HG 70-150Hz,206,hg,-0.00653837655932672,-0.03340313666497844,-0.004671913625590684,-0.00820963767605829,-0.02805246794784835,0.0023964813412745744,0.006670104137976138,0.01588524642003439,-0.007821422157027661,0.0074550467639516,0.018053317490893218,0.0006111910681119496,-0.018461450439812992,0.0008055021407812724,0.020685448262627276,0.02561041787473922,0.00898564957025366,0.012606871184781555
reading,-1,70.0,150.0,HG 70-150Hz,207,hg,-0.007748375531583136,-0.03235558199438806,-0.0002397887538450629,0.005287615687197365,-0.044556588301933604,0.009726220580408588,0.014407677694676874,0.008901115977842764,-0.005114249124585359,0.00656638066418298,0.007842884369369226,0.00691140603082933,-0.02474733723712168,0.002837891378900534,0.0308778665282747,0.012744786332717965,0.008658075699056914,0.013501402463936125
reading,-1,70.0,150.0,HG 70-150Hz,208,hg,-0.0051653805659887635,-0.03238868366670185,0.0015417470258571023,0.01857048874448575,-0.0207680038057212,0.017993979839864734,0.013986429518664311,0.013765549616434048,0.006749793559328704,-0.00557289269117969,-0.0077403668511697955,0.002205501797638572,-0.016388578223664952,-0.013200455072407403,0.018857241299310257,-0.0021403864893704025,0.009694015964621047,0.012160558513671095
reading,-1,70.0,150.0,HG 70-150Hz,209,hg,-0.009434218528183252,-0.04792518707873666,0.00772414503425779,0.02584202153288105,-0.0006440718619196503,0.014863601407264797,-0.001563490995462282,0.0193472689499647,0.020305997476554448,-0.015480361870414561,-0.005297762619793839,0.0021829973068185644,-0.02703919034905293,-0.02939270525139641,0.021836425324640925,0.007718716240360638,0.016955815282216936,0.016091410418230558
