k,method_1,feature_1,method_2,feature_2,same_algorithm,same_feature,diagonal_share,null_mean,null_p95,p_value,chance_corrected,n_electrodes,n_perm,run_1,run_2
7,kmeans,concat_rawds,hierarchical,concat_hg,False,False,0.36547619047619045,0.17987321428571426,0.18928571428571428,0.000999000999000999,0.22631010158853196,1680,1000,20260915_004207,20260915_003616
7,kmeans,concat_rawds,hierarchical,concat_rawds,False,True,0.6041666666666666,0.1885363095238095,0.2,0.000999000999000999,0.5121983423546076,1680,1000,20260915_004207,20260915_003626
7,kmeans,concat_rawds,hierarchical,concat_bands5z,False,False,0.45357142857142857,0.17785892857142857,0.1869047619047619,0.000999000999000999,0.33535911242205135,1680,1000,20260915_004207,20260915_003657
7,kmeans,concat_rawds,cnmf,concat_hg,False,False,0.3886904761904762,0.1782654761904762,0.1886904761904762,0.000999000999000999,0.2560741868608359,1680,1000,20260915_004207,20260914_225554
7,kmeans,concat_rawds,cnmf,concat_rawds,False,True,0.8166666666666667,0.17945119047619046,0.18988095238095237,0.000999000999000999,0.7765722998980067,1680,1000,20260915_004207,20260914_230430
7,kmeans,concat_rawds,cnmf,concat_bands5z,False,False,0.5678571428571428,0.1769422619047619,0.1869047619047619,0.000999000999000999,0.47495438395009315,1680,1000,20260915_004207,20260914_231813
7,kmeans,concat_bands5z,hierarchical,concat_hg,False,False,0.38392857142857145,0.1762434523809524,0.18571428571428572,0.000999000999000999,0.25211953658869685,1680,1000,20260915_004310,20260915_003616
7,kmeans,concat_bands5z,hierarchical,concat_rawds,False,False,0.46785714285714286,0.18121190476190477,0.19047619047619047,0.000999000999000999,0.35008476523084353,1680,1000,20260915_004310,20260915_003626
7,kmeans,concat_bands5z,hierarchical,concat_bands5z,False,True,0.5904761904761905,0.17496369047619045,0.18333333333333332,0.000999000999000999,0.5036293496462277,1680,1000,20260915_004310,20260915_003657
7,kmeans,concat_bands5z,cnmf,concat_hg,False,False,0.4589285714285714,0.17511964285714288,0.18392857142857144,0.000999000999000999,0.3440607187622447,1680,1000,20260915_004310,20260914_225554
7,kmeans,concat_bands5z,cnmf,concat_rawds,False,False,0.5190476190476191,0.1759315476190476,0.18571428571428572,0.000999000999000999,0.4163684102178868,1680,1000,20260915_004310,20260914_230430
7,kmeans,concat_bands5z,cnmf,concat_bands5z,False,True,0.7767857142857143,0.17465595238095238,0.18333333333333332,0.000999000999000999,0.7295500144961191,1680,1000,20260915_004310,20260914_231813
7,hierarchical,concat_hg,hierarchical,concat_rawds,True,False,0.3535714285714286,0.19111130952380956,0.20297619047619048,0.000999000999000999,0.2008436030326734,1680,1000,20260915_003616,20260915_003626
7,hierarchical,concat_hg,hierarchical,concat_bands5z,True,False,0.3619047619047619,0.17945535714285715,0.18928571428571428,0.000999000999000999,0.22235158848470998,1680,1000,20260915_003616,20260915_003657
7,hierarchical,concat_hg,cnmf,concat_hg,False,True,0.5422619047619047,0.17973809523809522,0.19047619047619047,0.000999000999000999,0.4419610461234797,1680,1000,20260915_003616,20260914_225554
7,hierarchical,concat_hg,cnmf,concat_rawds,False,False,0.35714285714285715,0.18191785714285713,0.19226190476190477,0.000999000999000999,0.21418998266852352,1680,1000,20260915_003616,20260914_230430
7,hierarchical,concat_hg,cnmf,concat_bands5z,False,False,0.37142857142857144,0.1775625,0.1869047619047619,0.000999000999000999,0.23572134226439267,1680,1000,20260915_003616,20260914_231813
7,hierarchical,concat_rawds,hierarchical,concat_bands5z,True,False,0.4982142857142857,0.18717083333333334,0.19702380952380952,0.000999000999000999,0.382667681151885,1680,1000,20260915_003626,20260915_003657
7,hierarchical,concat_rawds,cnmf,concat_hg,False,False,0.3279761904761905,0.18935,0.2005952380952381,0.000999000999000999,0.17100621782050268,1680,1000,20260915_003626,20260914_225554
7,hierarchical,concat_rawds,cnmf,concat_rawds,False,True,0.5964285714285714,0.1924827380952381,0.20535714285714285,0.000999000999000999,0.5002318246182265,1680,1000,20260915_003626,20260914_230430
7,hierarchical,concat_rawds,cnmf,concat_bands5z,False,False,0.45416666666666666,0.18504583333333335,0.19702380952380952,0.000999000999000999,0.3302281825665042,1680,1000,20260915_003626,20260914_231813
7,hierarchical,concat_bands5z,cnmf,concat_hg,False,False,0.39285714285714285,0.17764880952380951,0.1869047619047619,0.000999000999000999,0.2616988165466324,1680,1000,20260915_003657,20260914_225554
7,hierarchical,concat_bands5z,cnmf,concat_rawds,False,False,0.44166666666666665,0.17896011904761902,0.18872023809523805,0.000999000999000999,0.31996807184849063,1680,1000,20260915_003657,20260914_230430
