comparison,axis,rank,weighting,cluster_1,cluster_2,r_centred,r_plain,overlap,n_1,n_2,null_plain_mean,null_plain_sd,z_plain,p_plain,null_within_mean,null_within_sd,z_within,p_within
cnmf_vs_hierarchical_concat_hg,A algorithms,9,weighted,8,8,0.4879592023163022,0.8263861884203052,0.11337159686963687,167.5175924842343,214.0,0.056644490032103985,0.014042084036969651,4.039792575531036,0.000999000999000999,0.11435688066615707,0.0023735122828869716,-0.4151163672604935,0.6553446553446554
kmeans_vs_hierarchical_concat_hg,A algorithms,1,hard,6,5,0.9890918525841168,0.9839475407041853,0.6,75.0,45.0,0.040924612152683434,0.011800216959006219,47.378399040419026,0.000999000999000999,0.5999999999999998,2.221557105636704e-16,,1.0
kmeans_vs_hierarchical_concat_hg,A algorithms,2,hard,1,0,0.9822401269404256,0.9903561164522963,0.6889952153110048,173.0,180.0,0.06356701461900771,0.018564808647835333,33.68891177690229,0.000999000999000999,0.28489481813151984,0.017584668659503366,22.980267925668027,0.000999000999000999
kmeans_vs_hierarchical_concat_hg,A algorithms,3,hard,3,1,0.9681846954524702,0.9920235156413071,0.6371191135734072,323.0,268.0,0.08339499029354557,0.025870250812773065,21.40389466214484,0.000999000999000999,0.23933515926974006,0.013738354207298221,28.954265431033402,0.000999000999000999
kmeans_vs_hierarchical_concat_hg,A algorithms,4,hard,7,3,0.9510175982854792,0.958932791855786,0.4343891402714932,203.0,114.0,0.06891963013064083,0.019488713597016344,18.7528801386257,0.000999000999000999,0.12767222316368926,0.014508336626107423,21.140736185833585,0.000999000999000999
kmeans_vs_hierarchical_concat_hg,A algorithms,5,hard,5,6,0.9068820008693061,0.8857229038143823,0.3675675675675676,127.0,126.0,0.05116210120615825,0.01565248684529078,20.214389540062342,0.000999000999000999,0.18342307536507435,0.01855282165346395,9.925417041246234,0.000999000999000999
kmeans_vs_hierarchical_concat_hg,A algorithms,6,hard,8,7,0.8839389063749,0.8785680256625958,0.3856655290102389,184.0,222.0,0.06502938183345122,0.0188736989197753,16.98851658806715,0.000999000999000999,0.1203930968135742,0.017814595868907677,14.890735335717174,0.000999000999000999
kmeans_vs_hierarchical_concat_hg,A algorithms,7,hard,0,4,0.8514849108994522,0.9171646983374276,0.40848806366047746,238.0,293.0,0.06939191638087226,0.0233425467388009,14.526955909054525,0.000999000999000999,0.14504852624228273,0.01677305885920587,15.706111784947698,0.000999000999000999
kmeans_vs_hierarchical_concat_hg,A algorithms,8,hard,4,2,0.8456965972304893,0.9512257825950767,0.3787878787878788,237.0,218.0,0.07002177222763402,0.021978684177351694,14.048434568181202,0.000999000999000999,0.16965981991012002,0.013269306309096106,15.760285730566151,0.000999000999000999
kmeans_vs_hierarchical_concat_hg,A algorithms,9,hard,2,8,0.7266137562287898,0.7862413223332292,0.2462686567164179,120.0,214.0,0.049999122087240805,0.014948867244057674,13.129391774296224,0.000999000999000999,0.08379806158848538,0.011481519736171071,14.150617589071377,0.000999000999000999
kmeans_vs_hierarchical_concat_hg,A algorithms,1,weighted,6,5,0.9890918525841168,0.9839475407041853,0.6,75.0,45.0,0.040924612152683434,0.011800216959006219,47.378399040419026,0.000999000999000999,0.5999999999999998,2.221557105636704e-16,,1.0
kmeans_vs_hierarchical_concat_hg,A algorithms,2,weighted,1,0,0.9822401269404256,0.9903561164522963,0.6889952153110048,173.0,180.0,0.06356701461900771,0.018564808647835333,33.68891177690229,0.000999000999000999,0.28489481813151984,0.017584668659503366,22.980267925668027,0.000999000999000999
kmeans_vs_hierarchical_concat_hg,A algorithms,3,weighted,3,1,0.9681846954524702,0.9920235156413071,0.6371191135734072,323.0,268.0,0.08339499029354557,0.025870250812773065,21.40389466214484,0.000999000999000999,0.23933515926974006,0.013738354207298221,28.954265431033402,0.000999000999000999
kmeans_vs_hierarchical_concat_hg,A algorithms,4,weighted,7,3,0.9510175982854792,0.958932791855786,0.4343891402714932,203.0,114.0,0.06891963013064083,0.019488713597016344,18.7528801386257,0.000999000999000999,0.12767222316368926,0.014508336626107423,21.140736185833585,0.000999000999000999
kmeans_vs_hierarchical_concat_hg,A algorithms,5,weighted,5,6,0.9068820008693061,0.8857229038143823,0.3675675675675676,127.0,126.0,0.05116210120615825,0.01565248684529078,20.214389540062342,0.000999000999000999,0.18342307536507435,0.01855282165346395,9.925417041246234,0.000999000999000999
kmeans_vs_hierarchical_concat_hg,A algorithms,6,weighted,8,7,0.8839389063749,0.8785680256625958,0.3856655290102389,184.0,222.0,0.06502938183345122,0.0188736989197753,16.98851658806715,0.000999000999000999,0.1203930968135742,0.017814595868907677,14.890735335717174,0.000999000999000999
kmeans_vs_hierarchical_concat_hg,A algorithms,7,weighted,0,4,0.8514849108994522,0.9171646983374276,0.40848806366047746,238.0,293.0,0.06939191638087226,0.0233425467388009,14.526955909054525,0.000999000999000999,0.14504852624228273,0.01677305885920587,15.706111784947698,0.000999000999000999
kmeans_vs_hierarchical_concat_hg,A algorithms,8,weighted,4,2,0.8456965972304893,0.9512257825950767,0.3787878787878788,237.0,218.0,0.07002177222763402,0.021978684177351694,14.048434568181202,0.000999000999000999,0.16965981991012002,0.013269306309096106,15.760285730566151,0.000999000999000999
kmeans_vs_hierarchical_concat_hg,A algorithms,9,weighted,2,8,0.7266137562287898,0.7862413223332292,0.2462686567164179,120.0,214.0,0.049999122087240805,0.014948867244057674,13.129391774296224,0.000999000999000999,0.08379806158848538,0.011481519736171071,14.150617589071377,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5,B feature sets,1,hard,7,0,0.8774695765018901,0.9212775585104652,0.43312101910828027,206.0,244.0,0.0675149009946507,0.018724740467000064,19.525296959814376,0.000999000999000999,0.30283947582059395,0.016235487622270957,8.02449216917718,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5,B feature sets,2,hard,5,4,0.8618433552482274,0.9450205710115095,0.36818181818181817,189.0,112.0,0.06417263448725435,0.01812587289265046,16.772112741551393,0.000999000999000999,0.21950921837249343,0.014826075931421863,10.027778118566982,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5,B feature sets,3,hard,3,3,0.8391433053405768,0.922800133858607,0.32515337423312884,148.0,68.0,0.05676610775325575,0.015371191271539415,17.460407702869883,0.000999000999000999,0.2881342898441881,0.008114396915225593,4.562148583030162,0.001998001998001998
cnmf_concat_hg_vs_concat_bands5,B feature sets,4,hard,4,8,0.7441566060488589,0.9474609706599684,0.24752475247524752,180.0,324.0,0.0614023135791844,0.017242363179796685,10.794485474830243,0.000999000999000999,0.071996177055358,0.05512371052101506,3.1842663304200465,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5,B feature sets,5,hard,1,5,0.6594667638456109,0.8741758368822644,0.24074074074074073,165.0,170.0,0.05876912149437779,0.016188626920752593,11.240707450802335,0.000999000999000999,0.11512213631615219,0.01460196486412395,8.602856231576412,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5,B feature sets,6,hard,2,6,0.42534008996230355,0.7999436061021189,0.1005586592178771,140.0,254.0,0.052547798308586045,0.015173027367338911,3.164224234686221,0.001998001998001998,0.06882807985606026,0.019123309196405668,1.659261952830882,0.06993006993006994
cnmf_concat_hg_vs_concat_bands5,B feature sets,7,hard,0,1,0.24468091382562995,0.7649337605815787,0.1588785046728972,185.0,187.0,0.060859514919518104,0.017198186975640677,5.699379236439986,0.000999000999000999,0.13203392055922814,0.010634836330123713,2.524212247407175,0.006993006993006993
cnmf_concat_hg_vs_concat_bands5,B feature sets,8,hard,6,2,0.19419321313787447,0.8764838520490623,0.07613168724279835,357.0,166.0,0.08318018237241134,0.025435692933361655,-0.27711040340356236,0.6003996003996004,0.08990355549565571,0.010715794818699598,-1.2851933511105265,0.926073926073926
cnmf_concat_hg_vs_concat_bands5,B feature sets,9,hard,8,7,-0.008262845777184849,0.7609060406724859,0.027131782945736434,110.0,155.0,0.04669296925434772,0.014090674987364424,-1.388236285781373,0.9140859140859141,0.09353993116929428,0.03421558669882655,-1.940874163815971,0.8761238761238761
cnmf_concat_hg_vs_concat_bands5,B feature sets,1,weighted,7,0,0.8774695765018901,0.9212775585104652,0.46690862430595853,185.19205203139686,205.67456979237653,0.2672697400095809,0.014292482780492778,13.968103888070203,0.000999000999000999,0.3731076333428945,0.005401379935920764,17.36611608068151,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5,B feature sets,2,weighted,5,4,0.8618433552482274,0.9450205710115095,0.4575722056798999,175.23667642174536,153.0283008890221,0.26472477870721367,0.013294254695556819,14.506072840408223,0.000999000999000999,0.3463972552036901,0.006228192789534436,17.850274426800507,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5,B feature sets,3,weighted,3,3,0.8391433053405768,0.922800133858607,0.47084638478942953,202.29777490473555,143.9231498173596,0.29292611199487306,0.016351771520128254,10.880794938673468,0.000999000999000999,0.3869252761038255,0.004688566321624707,17.89909813124351,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5,B feature sets,4,weighted,4,8,0.7441566060488589,0.9474609706599684,0.3684120128795025,163.8992768721488,209.63071295869617,0.2499614166895884,0.013444149634563248,8.810568121422289,0.000999000999000999,0.2632792405691524,0.023627015374815378,4.449684847727898,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5,B feature sets,5,weighted,1,5,0.6594667638456109,0.8741758368822644,0.3247311900355281,174.65444254523328,203.47585770632702,0.2733084149370398,0.014714332207679797,3.494740663232369,0.000999000999000999,0.29856099861404445,0.005391494118393035,4.853977551826358,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5,B feature sets,6,weighted,2,6,0.42534008996230355,0.7999436061021189,0.33381846170105656,186.9730155067079,218.9678342306499,0.2906522162938381,0.016611651801329633,2.5985522646076262,0.000999000999000999,0.33086253599942783,0.007372783284882672,0.4009239913086317,0.38961038961038963
