sample_idx,patient_id,condition,task,electrode,file_path,cluster_hierarchical_minus101,silhouette,contact_name,patient,name,hemi,x,y,z,is_wm
127,EL030,picture,LM,aH_L12,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L12_TN.npy,4,0.53958833,AHL12,EL030,AHL12,L,-63.7901611328125,-12.230712890625,-23.1871395111084,0.0
132,EL030,picture,LM,aH_L5,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L5_TN.npy,4,0.6791165,AHL5,EL030,AHL5,L,-41.56719207763672,-21.499526977539062,-24.333385467529297,0.0
133,EL030,picture,LM,aH_L6,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L6_TN.npy,4,0.62021416,AHL6,,,,,,,
134,EL030,picture,LM,aH_L7,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L7_TN.npy,9,0.22147742,AHL7,EL030,AHL7,L,-54.4617919921875,-18.21951103210449,-28.17398452758789,0.0
138,EL030,picture,LM,aH_R11,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_R11_TN.npy,9,0.278088,AHR11,EL030,AHR11,R,60.34187698364258,-21.75014305114746,-23.300466537475582,0.0
163,EL030,picture,LM,EntG_R6,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_EntG_R6_TN.npy,4,0.77597475,ENTGR6,EL030,ENTGR6,R,35.59168243408203,-15.576802253723145,-35.8812370300293,0.0
164,EL030,picture,LM,EntG_R7,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_EntG_R7_TN.npy,4,0.73121566,ENTGR7,EL030,ENTGR7,R,35.59168243408203,-15.576802253723145,-35.8812370300293,0.0
165,EL030,picture,LM,EntG_R8,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_EntG_R8_TN.npy,4,0.76761496,ENTGR8,EL030,ENTGR8,R,41.89469909667969,-15.984655380249023,-26.001739501953125,0.0
166,EL030,picture,LM,EntG_R9,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_EntG_R9_TN.npy,4,0.74658763,ENTGR9,EL030,ENTGR9,R,43.27866363525391,-17.30928611755371,-27.16737937927246,0.0
167,EL030,picture,LM,pH_R10,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_pH_R10_TN.npy,4,0.6992795,PHR10,EL030,PHR10,R,55.07518768310547,-29.768291473388672,-20.32766342163086,0.0
