x,y,z,n_contacts,median_w0,p_global_w0,p_within_patient_w0,sig_fdr_w0,sig_maxstat_w0,median_w1,p_global_w1,p_within_patient_w1,sig_fdr_w1,sig_maxstat_w1,median_w2,p_global_w2,p_within_patient_w2,sig_fdr_w2,sig_maxstat_w2,median_w3,p_global_w3,p_within_patient_w3,sig_fdr_w3,sig_maxstat_w3,median_w4,p_global_w4,p_within_patient_w4,sig_fdr_w4,sig_maxstat_w4,median_w5,p_global_w5,p_within_patient_w5,sig_fdr_w5,sig_maxstat_w5,median_w6,p_global_w6,p_within_patient_w6,sig_fdr_w6,sig_maxstat_w6
-58.0,-6.0,-34.0,16,0.1113,0.5329,0.8484,False,False,0.0011,0.9866,0.72,False,False,0.035,0.7251,0.4194,False,False,0.1366,0.3359,0.807,False,False,0.1044,0.5936,0.6646,False,False,0.4077,0.0001,0.0001,True,False,0.0477,0.9101,0.8469,False,False
-58.0,-6.0,-32.0,19,0.1127,0.5229,0.8781,False,False,0.0014,0.9847,0.782,False,False,0.0092,0.8838,0.8372,False,False,0.1314,0.3949,0.8468,False,False,0.095,0.6852,0.7249,False,False,0.3846,0.0001,0.0001,True,False,0.0573,0.8995,0.8475,False,False
-58.0,-4.0,-34.0,14,0.1219,0.4294,0.8239,False,False,0.0007,0.9852,0.7058,False,False,0.0442,0.6593,0.4049,False,False,0.1425,0.2863,0.8243,False,False,0.1044,0.5933,0.6433,False,False,0.4469,0.0001,0.0001,True,False,0.0477,0.8929,0.7638,False,False
-58.0,-4.0,-32.0,16,0.1219,0.4317,0.8473,False,False,0.0007,0.9893,0.7858,False,False,0.0258,0.7802,0.5389,False,False,0.1425,0.2732,0.8135,False,False,0.1044,0.5997,0.6657,False,False,0.4469,0.0001,0.0001,True,False,0.0477,0.9085,0.8029,False,False
-58.0,-2.0,-34.0,11,0.1458,0.2671,0.6707,False,False,0.0006,0.9611,0.6765,False,False,0.0459,0.6185,0.5658,False,False,0.143,0.2981,0.779,False,False,0.1139,0.5276,0.5688,False,False,0.4644,0.0001,0.0002,True,False,0.0573,0.8361,0.5725,False,False
-58.0,-2.0,-32.0,12,0.1511,0.1908,0.6781,False,False,0.0004,0.9834,0.8334,False,False,0.0442,0.6488,0.486,False,False,0.1425,0.2994,0.7809,False,False,0.1674,0.2106,0.221,False,False,0.4637,0.0001,0.0001,True,False,0.0609,0.8265,0.5249,False,False
-58.0,0.0,-32.0,10,0.1582,0.162,0.5064,False,False,0.0004,0.9763,0.6605,False,False,0.0462,0.637,0.4957,False,False,0.1509,0.2549,0.724,False,False,0.1044,0.5724,0.6791,False,False,0.4701,0.0001,0.0003,True,False,0.0477,0.8592,0.7039,False,False
-56.0,-6.0,-34.0,23,0.1098,0.5563,0.6844,False,False,0.0171,0.9605,0.4862,False,False,0.0276,0.7844,0.4208,False,False,0.1419,0.2286,0.7513,False,False,0.1139,0.5308,0.6531,False,False,0.3292,0.0002,0.0001,True,False,0.0424,0.9498,0.9558,False,False
-56.0,-6.0,-32.0,25,0.1127,0.5292,0.7559,False,False,0.0171,0.9675,0.5862,False,False,0.0092,0.9126,0.8131,False,False,0.1314,0.3804,0.8517,False,False,0.1139,0.5347,0.609,False,False,0.3292,0.0001,0.0001,True,False,0.0493,0.948,0.9549,False,False
-56.0,-4.0,-34.0,20,0.1159,0.4916,0.7174,False,False,0.0055,0.9823,0.6661,False,False,0.0442,0.6784,0.3144,False,False,0.1425,0.2483,0.7428,False,False,0.1674,0.1528,0.1755,False,False,0.3515,0.0002,0.0001,True,False,0.0437,0.9393,0.907,False,False
-56.0,-4.0,-32.0,21,0.119,0.4595,0.742,False,False,0.0027,0.9871,0.7619,False,False,0.0425,0.6817,0.2809,False,False,0.1419,0.2423,0.7199,False,False,0.2209,0.0171,0.0142,False,False,0.3292,0.0002,0.0001,True,False,0.0493,0.9306,0.8826,False,False
-56.0,-2.0,-34.0,14,0.1384,0.2839,0.5041,False,False,0.0011,0.9827,0.7867,False,False,0.0462,0.6427,0.5713,False,False,0.1509,0.2119,0.805,False,False,0.1674,0.1894,0.1384,False,False,0.4637,0.0001,0.0001,True,False,0.0477,0.8937,0.7948,False,False
-56.0,-2.0,-32.0,15,0.1458,0.2372,0.545,False,False,0.0008,0.9747,0.7931,False,False,0.0459,0.6397,0.5173,False,False,0.143,0.2677,0.8152,False,False,0.2209,0.037,0.0141,False,False,0.463,0.0001,0.0001,True,False,0.0573,0.8717,0.748,False,False
-56.0,0.0,-34.0,12,0.1437,0.2461,0.3476,False,False,0.0011,0.9774,0.6106,False,False,0.047,0.6303,0.5979,False,False,0.1666,0.1418,0.7118,False,False,0.1044,0.5786,0.6295,False,False,0.4701,0.0001,0.0001,True,False,0.0323,0.9251,0.8972,False,False
-56.0,0.0,-32.0,13,0.1565,0.1475,0.2885,False,False,0.0008,0.967,0.6264,False,False,0.0465,0.6232,0.524,False,False,0.1587,0.1767,0.7108,False,False,0.1139,0.5225,0.5752,False,False,0.4644,0.0001,0.0002,True,False,0.0381,0.9102,0.8933,False,False
-54.0,-6.0,-34.0,19,0.0822,0.7876,0.6265,False,False,0.1208,0.0794,0.013,False,False,0.0085,0.9008,0.6369,False,False,0.1093,0.6761,0.9274,False,False,0.25,0.0035,0.0083,False,False,0.3102,0.0002,0.0001,True,False,0.0264,0.9621,0.9889,False,False
-54.0,-6.0,-32.0,19,0.0822,0.7876,0.6265,False,False,0.1208,0.0794,0.013,False,False,0.0085,0.9008,0.6369,False,False,0.1093,0.6761,0.9274,False,False,0.25,0.0035,0.0083,False,False,0.3102,0.0002,0.0001,True,False,0.0264,0.9621,0.9889,False,False
-54.0,-4.0,-34.0,17,0.0985,0.6647,0.4773,False,False,0.1208,0.0911,0.0369,False,False,0.0085,0.881,0.76,False,False,0.1093,0.6653,0.8978,False,False,0.3713,0.0003,0.0008,False,False,0.3102,0.0004,0.0001,True,False,0.0264,0.9535,0.9701,False,False
-54.0,-4.0,-32.0,17,0.0985,0.6647,0.4773,False,False,0.1208,0.0911,0.0369,False,False,0.0085,0.881,0.76,False,False,0.1093,0.6653,0.8978,False,False,0.3713,0.0003,0.0008,False,False,0.3102,0.0004,0.0001,True,False,0.0264,0.9535,0.9701,False,False
-52.0,-6.0,-34.0,20,0.0903,0.7387,0.5218,False,False,0.1233,0.0619,0.0149,False,False,0.0088,0.9147,0.6817,False,False,0.0967,0.7897,0.9681,False,False,0.2952,0.0005,0.0008,False,False,0.3168,0.0003,0.0001,True,False,0.0375,0.9568,0.9561,False,False
-52.0,-6.0,-32.0,20,0.0903,0.7387,0.5218,False,False,0.1233,0.0619,0.0149,False,False,0.0088,0.9147,0.6817,False,False,0.0967,0.7897,0.9681,False,False,0.2952,0.0005,0.0008,False,False,0.3168,0.0003,0.0001,True,False,0.0375,0.9568,0.9561,False,False
-52.0,-4.0,-34.0,19,0.1127,0.5286,0.2611,False,False,0.1258,0.0644,0.0477,False,False,0.0085,0.8921,0.7921,False,False,0.0,0.9995,0.9995,False,False,0.3713,0.0001,0.0009,False,False,0.3235,0.0003,0.0003,True,False,0.0368,0.9508,0.9197,False,False
-52.0,-4.0,-32.0,19,0.1127,0.5286,0.2611,False,False,0.1258,0.0644,0.0477,False,False,0.0085,0.8921,0.7921,False,False,0.0,0.9995,0.9995,False,False,0.3713,0.0001,0.0009,False,False,0.3235,0.0003,0.0003,True,False,0.0368,0.9508,0.9197,False,False
-50.0,-6.0,-34.0,17,0.0985,0.654,0.3637,False,False,0.1258,0.0768,0.032,False,False,0.0079,0.8897,0.5904,False,False,0.1232,0.5364,0.825,False,False,0.3287,0.0002,0.0083,False,False,0.3235,0.0003,0.0001,True,False,0.0273,0.9528,0.9782,False,False
-50.0,-6.0,-32.0,17,0.0985,0.654,0.3637,False,False,0.1258,0.0768,0.032,False,False,0.0079,0.8897,0.5904,False,False,0.1232,0.5364,0.825,False,False,0.3287,0.0002,0.0083,False,False,0.3235,0.0003,0.0001,True,False,0.0273,0.9528,0.9782,False,False
-50.0,-4.0,-34.0,17,0.1127,0.5308,0.1887,False,False,0.1258,0.0757,0.0464,False,False,0.0079,0.8858,0.6639,False,False,0.0,0.9999,0.9999,False,False,0.3713,0.0001,0.0035,False,False,0.3235,0.0002,0.0001,True,False,0.0273,0.9542,0.9754,False,False
-50.0,-4.0,-32.0,17,0.1127,0.5308,0.1887,False,False,0.1258,0.0757,0.0464,False,False,0.0079,0.8858,0.6639,False,False,0.0,0.9999,0.9999,False,False,0.3713,0.0001,0.0035,False,False,0.3235,0.0002,0.0001,True,False,0.0273,0.9542,0.9754,False,False
