sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
96,3,6,9,1,5,7,10,7,2,8,0
97,7,0,0,2,4,5,7,0,12,1,3
98,7,0,0,2,2,5,1,0,12,2,3
99,7,10,0,2,2,5,1,0,12,2,3
100,7,0,0,2,2,5,3,0,12,2,3
101,1,10,0,2,2,5,1,0,12,2,3
102,1,10,5,9,2,1,1,7,15,2,19
103,1,10,5,9,2,1,1,7,15,2,0
104,1,10,5,9,2,1,1,7,12,2,0
105,1,10,5,9,2,1,1,7,15,2,0
106,9,7,6,12,6,9,7,0,5,1,2
107,9,0,0,2,4,9,7,0,12,1,2
108,7,0,0,2,4,9,7,0,12,1,2
109,7,1,0,2,1,5,6,0,12,4,9
110,7,0,0,2,4,5,6,0,12,1,9
111,9,0,0,2,4,9,7,14,1,1,2
112,4,3,3,4,9,3,3,12,13,16,15
113,3,6,9,1,5,7,10,9,2,8,0
114,3,6,9,1,5,7,10,7,2,8,0
115,7,1,0,7,1,5,6,11,4,12,9
116,7,0,0,2,4,9,7,14,1,1,2
117,9,7,6,12,6,9,7,0,12,1,3
118,4,3,3,4,2,3,3,0,12,2,3
119,4,3,3,4,2,3,3,0,12,16,3
120,1,10,5,9,2,1,1,7,15,2,0
121,1,10,5,9,2,1,1,7,15,2,0
122,1,10,5,9,2,1,1,0,12,2,3
123,4,3,3,4,9,3,3,12,13,16,3
124,9,7,6,12,6,9,7,10,5,1,1
125,9,7,6,12,6,11,15,10,5,9,1
126,9,7,6,12,6,11,15,10,5,9,1
127,9,0,6,2,6,9,7,0,12,1,2
128,7,0,0,2,4,9,7,0,12,1,2
129,7,0,0,2,4,9,7,0,12,1,2
130,9,7,6,12,6,11,7,10,5,9,1
131,9,0,6,12,6,9,7,0,12,1,2
132,9,7,6,12,6,11,15,10,5,9,1
133,9,7,6,12,6,9,7,0,12,1,1
134,7,0,0,2,2,5,1,0,12,2,3
135,7,0,0,2,2,5,1,0,12,2,3
136,7,0,0,2,2,5,1,0,12,2,3
137,7,0,0,2,4,5,6,5,1,12,19
138,7,1,0,7,1,5,6,11,4,12,9
139,7,1,8,7,1,5,6,11,4,12,9
140,7,1,8,7,1,5,6,11,4,12,9
141,7,0,0,2,4,5,6,5,1,12,19
142,7,0,0,2,4,5,6,14,4,12,2
143,7,0,0,2,2,5,3,0,12,2,3
144,7,10,0,2,2,5,1,0,12,2,3
145,7,10,0,2,2,5,1,0,12,2,3
146,9,7,6,12,6,9,7,10,5,1,1
147,7,0,0,2,4,5,7,0,12,1,2
148,9,0,0,2,4,9,7,0,12,1,3
149,4,0,0,2,2,3,3,0,12,2,3
150,1,10,5,9,2,1,1,0,12,2,3
151,1,10,5,9,2,1,1,7,15,2,0
152,1,10,5,9,2,1,1,7,15,2,0
153,1,10,5,9,2,1,1,7,15,2,0
154,9,0,6,12,6,9,7,14,5,1,2
155,7,0,0,2,4,5,6,5,1,12,19
156,9,7,6,12,6,9,7,10,5,1,1
157,5,4,2,6,7,8,2,2,3,13,11
158,5,4,2,6,7,8,2,2,3,4,11
159,2,8,4,3,13,2,4,4,6,14,7
160,2,8,4,3,13,2,4,4,6,14,7
161,2,8,4,3,13,2,4,4,6,14,7
162,2,8,4,3,13,2,4,4,6,14,7
163,2,8,4,3,13,2,4,4,6,14,7
164,5,4,2,6,7,8,2,2,3,13,11
165,5,4,2,6,7,8,2,2,3,13,11
166,9,0,6,2,4,9,7,14,1,1,2
167,7,0,0,2,4,5,6,14,4,12,2
168,7,0,0,2,4,5,6,0,4,12,2
169,7,0,0,2,4,9,7,14,1,1,2
170,7,0,0,2,4,5,6,14,1,1,2
171,7,0,0,2,4,5,6,14,4,1,2
172,7,0,0,2,4,5,6,14,4,12,2
173,7,1,0,2,1,5,6,11,4,12,9
174,7,1,8,7,1,14,6,11,4,12,9
175,7,0,0,2,4,9,7,14,1,1,2
176,7,0,0,2,4,9,7,14,1,1,2
177,7,0,0,2,4,5,6,14,1,1,2
178,7,0,0,2,4,5,6,0,4,12,2
179,7,0,0,2,4,9,6,14,4,1,2
180,7,0,0,2,4,5,6,14,4,12,2
181,7,0,0,2,4,9,6,14,4,1,2
182,9,7,6,12,6,9,7,14,5,1,2
183,7,0,2,2,4,9,2,14,4,1,2
184,7,0,0,2,4,5,6,5,4,12,19
185,7,1,8,7,1,14,6,11,4,12,9
186,5,4,2,6,1,14,9,11,14,4,14
187,5,1,2,6,1,14,9,11,4,4,9
188,7,1,8,7,1,14,6,11,4,12,9
189,5,4,2,6,7,14,2,2,4,3,14
190,9,0,6,12,6,9,7,14,5,1,2
191,7,0,0,2,4,5,6,14,4,12,2
192,7,0,0,2,4,5,6,14,4,12,2
193,7,1,8,7,2,5,1,7,15,2,19
194,7,1,8,7,1,5,6,11,4,4,9
195,7,1,8,7,1,14,9,11,4,4,9
196,9,7,6,12,6,11,15,10,5,9,1
197,9,7,6,12,6,11,15,10,5,9,1
198,7,1,8,7,1,5,6,11,4,12,9
199,7,0,0,2,4,3,3,0,12,1,3
