k,row_fold,col_fold,var_explained,feature_set,method,method_label,space,scheme,n,p
18,2,3,0.5626974043382759,concat_hg,kmeans,k-means,dB,home,1266,900
18,3,0,0.5411401586911024,concat_hg,kmeans,k-means,dB,home,1266,900
18,3,1,0.5398854917929006,concat_hg,kmeans,k-means,dB,home,1266,900
18,3,2,0.5697809650878272,concat_hg,kmeans,k-means,dB,home,1266,900
18,3,3,0.5709947414046399,concat_hg,kmeans,k-means,dB,home,1266,900
20,0,0,0.5551806416118801,concat_hg,kmeans,k-means,dB,home,1266,900
20,0,1,0.5411568540041236,concat_hg,kmeans,k-means,dB,home,1266,900
20,0,2,0.5878200202752708,concat_hg,kmeans,k-means,dB,home,1266,900
20,0,3,0.5879427008389876,concat_hg,kmeans,k-means,dB,home,1266,900
20,1,0,0.5881507841095919,concat_hg,kmeans,k-means,dB,home,1266,900
20,1,1,0.5730484085054011,concat_hg,kmeans,k-means,dB,home,1266,900
20,1,2,0.6254018439543502,concat_hg,kmeans,k-means,dB,home,1266,900
20,1,3,0.6133072968966071,concat_hg,kmeans,k-means,dB,home,1266,900
20,2,0,0.5457145172245439,concat_hg,kmeans,k-means,dB,home,1266,900
20,2,1,0.5412714141797177,concat_hg,kmeans,k-means,dB,home,1266,900
20,2,2,0.5679564398956467,concat_hg,kmeans,k-means,dB,home,1266,900
20,2,3,0.5803963952646221,concat_hg,kmeans,k-means,dB,home,1266,900
20,3,0,0.5453123312487047,concat_hg,kmeans,k-means,dB,home,1266,900
20,3,1,0.5502577721268109,concat_hg,kmeans,k-means,dB,home,1266,900
20,3,2,0.5997460080015499,concat_hg,kmeans,k-means,dB,home,1266,900
20,3,3,0.5749460395949751,concat_hg,kmeans,k-means,dB,home,1266,900
2,0,0,0.22767060239336734,concat_hg,hierarchical,Ward,dB,home,1266,900
2,0,1,0.26454640517814265,concat_hg,hierarchical,Ward,dB,home,1266,900
2,0,2,0.2774899278797496,concat_hg,hierarchical,Ward,dB,home,1266,900
2,0,3,0.2757387470895425,concat_hg,hierarchical,Ward,dB,home,1266,900
2,1,0,0.24417303423525494,concat_hg,hierarchical,Ward,dB,home,1266,900
