k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
0,0,0,0,7,7,7,4,7,7,7,7,0,0,7,10,7,7,10,4,4,4,4,0,4,29
2,2,2,2,2,5,2,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,2,2,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,0,14,14,14,14,14,14
0,0,0,0,7,7,7,7,7,7,14,14,0,14,7,0,7,7,7,7,7,7,0,14,14,14
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,0,0,7,0,14,7,7
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,0,7,7,7
0,0,0,7,0,0,2,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,2,2,2,2,2,2,5,5,2,2,10,10,14,2,5,2,5,6,0,0,2,0,14,14,14
2,2,2,2,2,2,1,5,0,2,2,0,10,15,4,2,4,4,6,23,23,23,23,23,23,29
2,2,2,2,2,2,1,0,0,2,2,0,10,15,2,2,2,2,6,6,6,6,6,10,6,6
0,0,0,0,7,2,7,7,0,7,7,0,10,15,2,2,2,2,6,6,6,6,0,10,6,6
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,9,9,9,9,9,9,9,9,14,14,14,14
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,10,7,7,10,4,4,4,4,0,4,0
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,0,7,7,0,18,7,7
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
