sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
119,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
120,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
121,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
122,3,1,1,7,6,0,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
123,4,3,4,2,3,0,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,20
124,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
125,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
126,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
127,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
128,3,1,2,1,6,4,6,10,8,12,4,13,7,8,1,5,12,4,21,5,22,6,5,1,1,23
129,3,1,2,1,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
130,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
131,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
132,4,3,1,7,6,0,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
133,3,1,2,1,7,4,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
134,3,1,2,1,1,4,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,1,2
135,3,1,2,1,1,4,0,8,11,9,7,0,8,0,8,5,12,18,21,9,4,14,1,23,1,2
136,4,3,1,7,6,7,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
137,4,3,1,7,6,0,0,8,12,11,7,0,8,0,8,19,12,4,5,8,19,14,24,27,16,20
138,4,3,1,7,1,0,2,1,8,12,7,13,7,8,2,19,1,4,3,8,19,10,18,27,16,20
139,4,3,1,7,1,0,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
140,3,1,1,7,6,4,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
141,3,1,2,1,7,4,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
142,0,2,6,4,8,3,4,2,5,8,3,3,2,4,17,6,17,16,13,4,1,5,3,3,3,0
143,0,2,6,4,8,3,4,2,5,8,3,3,2,4,17,6,17,16,13,4,1,5,3,3,3,0
144,0,2,6,4,8,3,4,2,5,8,3,3,2,4,17,6,17,16,13,4,1,5,3,3,3,27
145,0,2,6,4,8,3,4,2,5,8,3,3,2,4,17,6,17,16,13,4,1,5,3,3,3,0
146,0,2,6,4,8,3,4,2,5,8,3,3,2,4,17,6,17,16,13,4,1,5,3,3,3,0
147,0,2,6,4,8,3,4,2,5,8,3,3,2,4,17,6,17,16,13,4,1,5,3,3,3,0
148,3,1,2,1,2,4,6,10,8,7,4,2,7,9,1,17,9,4,21,5,22,6,1,1,1,23
149,3,1,2,1,2,4,6,10,8,7,4,13,7,9,1,17,9,20,21,5,22,6,1,1,1,23
150,3,1,2,1,2,4,6,10,11,7,4,2,9,9,1,17,9,20,9,7,18,9,12,17,6,4
151,3,1,2,1,2,4,6,10,11,7,4,2,9,9,1,17,9,20,9,7,18,9,12,17,6,4
152,3,1,2,1,2,2,6,10,11,7,11,2,9,9,15,7,0,15,9,20,18,5,13,9,6,16
153,3,1,2,1,2,4,6,10,11,7,11,2,3,10,13,17,9,20,9,7,18,9,12,17,6,24
154,3,1,2,1,2,4,6,10,11,7,4,2,9,10,1,17,9,20,9,7,18,9,12,17,6,4
155,1,4,5,5,5,2,3,0,7,5,11,9,5,10,15,7,0,17,9,3,18,18,4,9,6,1
156,1,4,5,5,0,2,3,0,0,5,11,11,3,10,13,7,0,17,9,3,18,18,4,22,19,1
157,1,1,5,5,0,2,3,0,0,5,11,11,3,10,13,7,0,17,9,3,18,18,22,22,6,1
158,3,1,2,1,2,4,6,10,11,7,4,2,3,10,1,17,9,20,21,7,11,9,12,17,6,24
159,3,1,2,5,2,2,6,0,7,5,11,9,3,10,13,7,0,17,9,3,18,18,13,9,6,1
160,2,0,3,5,3,7,1,5,7,5,14,9,5,7,15,7,0,17,9,3,0,21,13,9,2,17
161,3,0,0,5,2,7,1,5,7,5,14,9,5,7,15,7,0,21,9,3,0,21,13,9,2,1
162,3,1,2,5,2,2,6,10,0,7,11,2,3,10,13,7,0,20,9,7,18,9,12,17,6,24
163,3,1,2,5,2,2,6,10,11,7,11,2,9,9,15,7,0,15,9,4,18,9,13,9,26,0
164,3,1,2,1,0,2,0,8,12,9,11,0,8,0,8,2,9,13,9,7,18,5,12,3,26,24
165,3,1,2,5,0,2,3,0,0,7,11,0,3,10,13,7,9,20,9,7,18,5,12,17,6,24
166,3,1,2,5,2,2,6,10,0,7,11,2,3,10,13,7,0,20,9,7,18,9,12,17,6,24
167,3,1,2,5,2,7,1,5,7,5,11,9,5,10,2,7,0,17,9,3,18,18,13,9,6,1
168,3,1,2,5,2,2,6,10,7,5,11,9,5,10,15,7,0,15,9,3,18,18,13,9,6,1
169,3,1,2,5,2,7,1,5,7,5,11,9,5,10,15,7,0,17,9,3,18,18,13,9,6,1
170,3,1,2,5,2,2,1,5,7,5,11,9,5,7,15,7,0,17,9,3,18,18,13,9,6,1
171,3,1,2,5,2,2,1,5,7,5,11,9,5,10,15,7,0,17,9,3,18,18,13,9,6,1
172,3,1,2,1,2,2,6,10,11,7,11,2,9,10,15,7,0,15,9,3,18,18,13,9,6,24
173,3,1,2,5,2,4,6,10,7,5,4,2,9,9,15,7,0,17,9,3,18,18,13,9,6,1
